region_id,date,上一年同一天,前一天,当天,预测气温
4401,2022/1/1 0:00,"[6.647,6.630,6.648,6.668,6.725,5.374,5.391,5.455,5.136,5.184,5.153,10.073,10.079,10.245,14.430,14.405,14.470,15.450,15.398,15.413,12.564,12.664,12.688,11.030]","[15.633,15.577,15.649,15.606,15.510,15.564,15.622,15.572,15.705,15.853,15.859,17.347,17.529,17.666,18.520,18.447,18.479,18.658,18.497,18.508,17.129,17.067,17.149,16.424]","[15.633,15.577,15.649,15.606,15.510,15.564,15.622,15.572,15.705,15.853,15.859,17.347,17.529,17.666,18.520,18.447,18.479,18.658,18.497,18.508,17.129,17.067,17.149,16.424]",
4401,2022/1/2 0:00,"[9.480,9.659,9.588,9.593,9.594,8.230,8.348,8.330,8.219,8.356,8.380,13.453,13.485,13.533,17.269,17.194,17.023,17.904,18.144,18.019,14.903,15.000,15.055,13.493]","[15.633,15.577,15.649,15.606,15.510,15.564,15.622,15.572,15.705,15.853,15.859,17.347,17.529,17.666,18.520,18.447,18.479,18.658,18.497,18.508,17.129,17.067,17.149,16.424]","[15.752,15.820,15.827,15.757,15.785,14.971,14.994,15.018,15.232,15.296,15.257,18.799,18.790,18.680,21.672,21.740,21.816,21.844,21.929,22.064,19.781,19.978,20.056,18.349]",
4401,2022/1/3 0:00,"[12.096,12.034,12.116,12.205,12.136,10.847,10.959,11.005,11.154,11.038,11.128,16.787,16.852,16.857,20.692,20.707,20.794,20.845,20.821,20.741,17.345,17.413,17.352,15.508]","[15.752,15.820,15.827,15.757,15.785,14.971,14.994,15.018,15.232,15.296,15.257,18.799,18.790,18.680,21.672,21.740,21.816,21.844,21.929,22.064,19.781,19.978,20.056,18.349]","[17.384,17.432,17.315,17.365,17.425,16.328,16.355,16.378,16.178,16.115,16.107,20.427,20.377,20.228,22.965,22.917,22.893,22.981,22.897,22.871,20.763,20.717,20.850,19.310]",
4401,2022/1/4 0:00,"[13.931,14.039,14.003,14.062,14.177,13.084,13.025,13.073,13.599,13.504,13.465,15.426,15.478,15.500,18.203,18.181,18.250,19.095,19.247,19.208,16.913,17.034,17.030,17.159]","[17.384,17.432,17.315,17.365,17.425,16.328,16.355,16.378,16.178,16.115,16.107,20.427,20.377,20.228,22.965,22.917,22.893,22.981,22.897,22.871,20.763,20.717,20.850,19.310]","[18.238,18.123,18.198,18.107,18.200,17.528,17.505,17.649,17.395,17.429,17.474,21.076,21.091,21.097,23.450,23.203,23.119,23.431,23.451,23.449,21.089,21.011,21.009,19.684]",
4401,2022/1/5 0:00,"[16.896,16.893,16.853,16.812,16.774,16.343,16.289,16.393,15.767,15.778,15.693,18.476,18.634,18.688,21.858,21.791,21.823,21.874,21.881,21.905,18.401,18.401,18.475,16.109]","[18.238,18.123,18.198,18.107,18.200,17.528,17.505,17.649,17.395,17.429,17.474,21.076,21.091,21.097,23.450,23.203,23.119,23.431,23.451,23.449,21.089,21.011,21.009,19.684]","[19.904,19.880,19.797,19.845,19.845,19.472,19.310,19.273,19.350,19.406,19.268,22.516,22.523,22.402,24.834,24.810,24.887,24.905,24.974,25.000,23.116,23.160,23.139,21.803]",
4401,2022/1/6 0:00,"[13.786,13.849,13.766,13.774,13.773,12.615,12.571,12.541,12.846,12.749,12.761,14.915,14.934,14.931,17.799,17.771,17.677,18.445,18.534,18.384,17.119,17.275,17.242,16.542]","[19.904,19.880,19.797,19.845,19.845,19.472,19.310,19.273,19.350,19.406,19.268,22.516,22.523,22.402,24.834,24.810,24.887,24.905,24.974,25.000,23.116,23.160,23.139,21.803]","[20.463,20.404,20.385,20.473,20.394,19.684,19.782,19.805,17.863,17.793,17.779,21.157,21.091,21.242,23.728,23.723,23.764,23.539,23.437,23.385,21.020,20.961,20.949,19.148]",
4401,2022/1/7 0:00,"[15.032,15.003,15.013,15.004,15.048,13.637,13.780,13.809,12.755,12.672,12.790,12.866,12.735,12.692,12.726,12.711,12.712,11.108,11.086,11.034,9.775,9.808,9.692,8.460]","[20.463,20.404,20.385,20.473,20.394,19.684,19.782,19.805,17.863,17.793,17.779,21.157,21.091,21.242,23.728,23.723,23.764,23.539,23.437,23.385,21.020,20.961,20.949,19.148]","[17.496,17.730,17.528,17.439,17.490,16.091,16.155,16.072,15.073,15.241,15.393,18.447,18.592,18.650,21.372,21.446,21.442,21.641,21.674,21.523,19.407,19.407,19.301,17.870]",
4401,2022/1/8 0:00,"[7.457,7.528,7.500,7.493,7.572,6.347,6.157,6.300,5.277,5.197,5.094,6.813,6.732,6.676,8.248,8.155,8.139,8.708,8.733,8.733,7.776,7.804,7.690,7.290]","[17.496,17.730,17.528,17.439,17.490,16.091,16.155,16.072,15.073,15.241,15.393,18.447,18.592,18.650,21.372,21.446,21.442,21.641,21.674,21.523,19.407,19.407,19.301,17.870]","[16.553,16.487,16.517,16.539,16.545,15.034,15.065,14.939,13.935,13.753,13.724,17.775,17.887,17.625,20.814,20.719,20.684,21.153,21.023,20.857,19.484,19.535,19.531,18.239]",
4401,2022/1/9 0:00,"[6.441,6.501,6.446,6.552,6.460,5.924,5.868,5.909,5.202,5.209,5.192,7.875,7.792,7.700,11.737,11.869,11.853,13.085,13.257,13.159,12.168,12.122,12.209,11.121]","[16.553,16.487,16.517,16.539,16.545,15.034,15.065,14.939,13.935,13.753,13.724,17.775,17.887,17.625,20.814,20.719,20.684,21.153,21.023,20.857,19.484,19.535,19.531,18.239]","[17.230,17.212,17.237,17.289,17.274,16.600,16.623,16.679,16.085,16.241,16.267,15.523,15.512,15.536,17.376,17.377,17.290,17.962,17.892,18.025,15.975,16.107,16.046,15.214]",
4401,2022/1/10 0:00,"[9.837,9.873,10.023,10.064,10.257,9.478,9.559,9.539,9.235,9.285,9.112,10.359,10.472,10.530,11.406,11.491,11.308,11.395,11.441,11.405,11.208,11.227,11.268,10.823]","[17.230,17.212,17.237,17.289,17.274,16.600,16.623,16.679,16.085,16.241,16.267,15.523,15.512,15.536,17.376,17.377,17.290,17.962,17.892,18.025,15.975,16.107,16.046,15.214]","[14.331,14.342,14.325,14.257,14.192,13.774,13.753,13.812,14.067,13.912,13.917,15.204,15.136,15.321,15.845,15.724,15.719,16.470,16.448,16.484,16.039,15.999,16.036,15.353]",
4401,2022/1/11 0:00,"[9.431,9.576,9.539,9.490,9.361,7.224,7.146,7.146,5.884,5.849,5.818,6.706,6.676,6.732,7.685,7.749,7.721,9.542,9.570,9.566,9.828,9.832,9.745,8.615]","[14.331,14.342,14.325,14.257,14.192,13.774,13.753,13.812,14.067,13.912,13.917,15.204,15.136,15.321,15.845,15.724,15.719,16.470,16.448,16.484,16.039,15.999,16.036,15.353]","[14.056,14.242,14.148,13.959,13.979,13.553,13.498,13.510,11.779,11.754,11.795,14.377,14.485,14.424,16.962,17.107,17.116,17.191,17.250,17.238,14.577,14.653,14.653,13.382]",
4401,2022/1/12 0:00,"[6.590,6.544,6.653,6.672,6.620,5.044,5.031,5.127,4.720,4.671,4.732,10.576,10.615,10.631,15.006,15.004,14.936,15.807,15.767,15.678,12.007,12.078,12.138,10.262]","[14.056,14.242,14.148,13.959,13.979,13.553,13.498,13.510,11.779,11.754,11.795,14.377,14.485,14.424,16.962,17.107,17.116,17.191,17.250,17.238,14.577,14.653,14.653,13.382]","[12.377,12.493,12.447,12.497,12.503,11.738,11.713,11.660,10.533,10.375,10.333,14.941,14.908,14.931,17.825,17.759,17.695,18.255,18.265,18.377,17.156,17.298,17.266,16.645]",
4401,2022/1/13 0:00,"[8.917,9.025,8.844,8.781,8.798,7.598,7.547,7.535,8.091,8.070,8.110,13.921,14.051,14.079,18.243,18.187,18.246,18.300,18.469,18.485,15.307,15.348,15.372,13.556]","[12.377,12.493,12.447,12.497,12.503,11.738,11.713,11.660,10.533,10.375,10.333,14.941,14.908,14.931,17.825,17.759,17.695,18.255,18.265,18.377,17.156,17.298,17.266,16.645]","[16.523,16.707,16.566,16.531,16.529,15.992,16.202,16.182,15.105,15.031,14.948,15.900,15.994,15.892,17.600,17.668,17.791,18.809,18.812,18.891,17.039,16.984,16.963,16.066]",
4401,2022/1/14 0:00,"[12.316,12.353,12.203,12.121,12.105,11.905,11.922,11.814,12.171,12.253,12.218,16.222,16.119,16.265,19.969,19.870,19.911,19.633,19.650,19.633,16.400,16.448,16.440,15.036]","[16.523,16.707,16.566,16.531,16.529,15.992,16.202,16.182,15.105,15.031,14.948,15.900,15.994,15.892,17.600,17.668,17.791,18.809,18.812,18.891,17.039,16.984,16.963,16.066]","[15.456,15.322,15.436,15.568,15.594,15.105,15.073,15.188,14.168,14.274,14.292,15.767,15.694,15.696,17.270,17.200,17.384,17.190,17.408,17.384,17.067,17.187,17.101,16.635]",
